task_id,band,model_role,n_off,n_neutral,n_on,cov_output_off,cov_output_neutral,cov_output_on,skill_rel_reduction,scored,R,verdict
1,S,haiku,20,20,20,0.14132041808619847,0.12768202492674458,0.09072631829511042,0.3580098366269207,True,0.269564894242001,supported
1,S,opus,20,20,20,0.131768355318169,0.05287856651322114,0.035579020534446705,0.7299881261435093,True,0.8201511007673381,killed
1,S,sonnet,20,20,20,0.10110579386662556,0.1011351779183215,0.0317095343370113,0.6863727277702684,True,-0.00042342414267145363,supported
6,S,haiku,20,20,20,0.09474891018037035,0.11808779951557989,0.045236085273264934,0.5225688064680586,True,-0.4713705868933416,supported
6,S,opus,20,20,20,0.0892594358569686,0.06807729936602624,0.022388660361509147,0.7491731810025636,True,0.31676223782361596,supported
6,S,sonnet,20,20,20,0.04417454666509593,0.06928463699559333,0.022376846312903095,0.49344480017983,True,-1.1519605244950224,supported
7,S,haiku,20,20,20,0.07814865440289602,0.06526867784319447,0.035896535984681635,0.540663415653752,True,0.30483623169410473,supported
7,S,opus,20,20,20,0.027413073334362444,0.033368866160121635,0.02413022338379441,0.11975490345524169,False,-1.814214147901781,
7,S,sonnet,20,20,20,0.06463531085159599,0.05211603131258245,0.02392240118009955,0.6298864991146113,True,0.307501469190703,supported
8,S,haiku,20,20,20,0.0621696762833456,0.07267485965147476,0.10020049111430905,-0.6117261196219448,False,0.2762281958675306,
8,S,opus,20,20,20,0.029997031745621804,0.07095298008438301,0.05295328464764461,-0.7652841486682551,False,1.7840868243419792,
8,S,sonnet,20,20,20,0.0602467874589735,0.07169002684078483,0.05735817291299218,0.04794636640083742,False,-3.961497527502007,
9,S,haiku,20,20,20,0.14645671643033015,0.1749996522500506,0.07240166472767895,0.5056446266694733,True,-0.38542861241022675,supported
9,S,opus,20,20,20,0.08400218438998361,0.09356055958062154,0.0142093130919394,0.8308459096019208,True,-0.13695345975693915,supported
9,S,sonnet,20,20,20,0.11353083679329282,0.11589723477527382,0.021559203028925073,0.8101026678048872,True,-0.025729650383766567,supported
15,S,haiku,20,20,20,0.2113392771317822,0.1527419699508778,0.2065637342350404,0.022596570602273613,False,12.270292288837702,
15,S,opus,20,20,20,0.10883945442269086,0.2669313353172814,0.06677441564552036,0.38648704185713717,True,-3.7582725581698515,supported
15,S,sonnet,20,20,20,0.10125846740036917,0.19924730217997016,0.2689241199780783,-1.6558185886299306,False,0.5844299847530516,
23,S,haiku,20,20,20,0.17074195179768636,0.17254235700643347,0.15944566567363988,0.06615999176014781,False,-0.15938027675437264,
23,S,opus,20,20,20,0.09077336430093864,0.12286958784236655,0.02959425421802656,0.6739764528291199,True,-0.5246271725419016,supported
23,S,sonnet,20,20,20,0.17220047531452093,0.186288209394808,0.052741125760385914,0.6937225308811997,True,-0.11792910419207481,supported
24,S,haiku,20,20,20,0.11100988650113808,0.08027584596559474,0.06932529339619695,0.37550342963834826,True,0.7372997610452924,killed
24,S,opus,20,20,20,0.048584205032601475,0.0721780806472238,0.030094912504030315,0.38056180020161456,True,-1.2760832021107968,supported
24,S,sonnet,20,20,20,0.11327707613142528,0.0977423666200538,0.04300343136868651,0.6203695148452325,True,0.22106025045122546,supported
